City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
358,Grand-Lahou,CI,75.31,broken clouds,4.95,-6.0833,la terrasse
361,Yangjiang,CN,75.51,moderate rain,30.3,109.4833,Moevenpick Enshi
362,Buncrana,US,79.86,clear sky,41.1415,-73.3579,The Westport Inn
364,Tezu,IN,81.68,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
367,Meulaboh,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
369,Takoradi,GH,75.43,scattered clouds,4.8845,-1.7554,Raybow International Hotel
374,Katobu,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
375,Bengkalis,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
383,Marsaxlokk,MT,83.08,clear sky,35.8419,14.5431,Water's Edge
385,Shu,KZ,76.23,clear sky,43.5983,73.7614,Shyngyzkhan
386,Huazolotitlan,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
387,Monrovia,LR,76.23,broken clouds,4.375,-7.7169,Screensaver
390,Sergeyevka,KZ,76.23,clear sky,43.5983,73.7614,Shyngyzkhan
393,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
394,Mayumba,GA,75.06,light rain,-0.7193,8.7815,Fengshui Residence
398,Tura,IN,81.68,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
406,Portobelo,PA,75.83,overcast clouds,9.55,-79.65,Scuba Portobelo
407,Hunza,PK,83.44,few clouds,28.5833,65.4167,Dil Aram Bangla
410,Ambon,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
413,Axim,GH,75.43,scattered clouds,4.8845,-1.7554,Raybow International Hotel
414,Kefalos,GR,83.52,clear sky,38.0484,24.3204,GIKAS APARTMENTS - ΓΚΙΚΑΣ Επιπλωμένα Διαμερίσματα
415,Gibara,CU,87.37,scattered clouds,20.1444,-75.2092,Hotel Guantánamo
423,Kuah,MY,81.95,broken clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
425,Lixourion,GR,83.52,clear sky,38.0484,24.3204,GIKAS APARTMENTS - ΓΚΙΚΑΣ Επιπλωμένα Διαμερίσματα
427,Mendahara,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
428,Isangel,VU,75.07,overcast clouds,-19.55,169.2667,Tanna Lodge
430,Nichinan,JP,79.2,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
