City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Xuddur,SO,4.1213,43.8894,69.96,71,100,15.68,overcast clouds
80,Provideniya,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
81,Nome,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
82,San Cristobal,EC,-1.7,-77.9333,68.05,88,82,3.49,light rain
83,Port-Gentil,GA,-0.7193,8.7815,75.06,88,100,17.92,light rain
84,New Norfolk,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
85,Dalby,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
86,Sitka,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
87,Todos Santos,MX,23.45,-110.2167,89.4,73,74,8.55,broken clouds
88,Kavieng,PG,-2.5744,150.7967,83.08,75,75,13.24,moderate rain
89,Sentyabrskiy,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
90,Kruisfontein,ZA,-33.5906,26.891,58.87,73,60,10.38,broken clouds
91,Saint-Louis,SN,16.3333,-15,83.52,64,41,17.2,scattered clouds
92,Westport,US,41.1415,-73.3579,79.86,78,1,1.99,clear sky
93,Hithadhoo,MV,-0.6,73.0833,80.92,76,100,5.68,overcast clouds
94,Mildura,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
95,Walvis Bay,NA,-26.6481,15.1594,59.58,54,27,5.53,scattered clouds
96,Conceicao Da Barra,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
97,Chistogorskiy,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
98,Udachnyy,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
99,Sangar,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
100,Neuquen,AR,-54.8,-68.3,31.66,100,90,36.82,heavy snow
101,Barcelos,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
102,Nalut,LY,30.3333,10.85,91.27,11,0,7.78,clear sky
103,Dasoguz,TM,41.8363,59.9666,77.11,47,0,4.61,clear sky
104,Huadian,CN,30.3,109.4833,75.51,98,100,1.01,moderate rain
105,Shelopugino,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
106,Praia Da Vitoria,PT,38.5167,-28.7,69.91,70,14,11.32,few clouds
107,Touros,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
108,Mnogovershinnyy,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
109,Mataura,PF,-23.1203,-134.9692,74.5,77,10,13.44,clear sky
110,Kodiak,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
111,Port Blair,IN,11.6667,92.75,81.68,83,100,13.31,overcast clouds
112,Saint-Joseph,RE,-21.3585,55.7679,67.55,81,39,12.19,light rain
113,Cabo San Lucas,MX,23.45,-110.2167,89.4,73,74,8.55,broken clouds
114,Arraial Do Cabo,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
115,Tutoia,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
116,Saskylakh,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
117,Puerto Ayora,EC,-1.7,-77.9333,68.05,88,82,3.49,light rain
118,Inirida,CO,3.8653,-67.9239,72.99,95,49,0.98,scattered clouds
119,Ahuimanu,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
120,Hobart,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
121,Faya,SA,18.3851,42.4509,63.12,61,49,4.59,scattered clouds
122,Clyde River,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
123,Tasiilaq,GL,72.7868,-56.1549,40.59,94,97,9.1,overcast clouds
124,Atuona,PF,-23.1203,-134.9692,74.5,77,10,13.44,clear sky
125,Dolbeau,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
126,Hobyo,SO,4.1213,43.8894,69.96,71,100,15.68,overcast clouds
127,Albany,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
128,Upington,ZA,-33.5906,26.891,58.87,73,60,10.38,broken clouds
129,Karratha,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
130,Morant Bay,GB,50.1544,-5.0711,59.9,100,45,4,scattered clouds
131,Kadykchan,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
132,Mar Del Plata,AR,-54.8,-68.3,31.66,100,90,36.82,heavy snow
133,Mataram,ID,-8.5833,116.1167,77.81,77,37,5.01,scattered clouds
134,Puerto Escondido,MX,23.45,-110.2167,89.4,73,74,8.55,broken clouds
135,Lloydminster,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
136,Khani,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
137,Muros,ES,42.8805,-8.5457,61.16,86,20,3.44,few clouds
138,Katsuura,JP,35.7333,140.8333,79.2,97,100,25.88,heavy intensity rain
139,Bichura,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
140,Cape Town,ZA,-33.5906,26.891,58.87,73,60,10.38,broken clouds
