City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mar Del Plata,AR,2021-08-07 06:39:36,-38.0023,-57.5575,52.3,93,100,8.5
68,Butaritari,KI,2021-08-07 06:42:15,3.0707,172.7902,83.68,68,15,7.85
69,Meiganga,CM,2021-08-07 06:42:16,6.5167,14.3,65.34,99,100,3.31
70,Hermanus,ZA,2021-08-07 06:42:16,-34.4187,19.2345,56.61,72,100,3.65
71,Kailua,US,2021-08-07 06:38:08,21.4022,-157.7394,80.58,71,20,10.36
72,North Bend,US,2021-08-07 06:38:24,43.4065,-124.2243,64.92,100,90,3.44
73,Mayna,RU,2021-08-07 06:42:17,54.1135,47.6231,78.66,31,11,5.88
74,New Norfolk,AU,2021-08-07 06:42:17,-42.7826,147.0587,47.7,73,6,1.01
75,Geraldton,AU,2021-08-07 06:42:18,-28.7667,114.6,70.21,60,75,11.5
76,Durban,ZA,2021-08-07 06:41:55,-29.8579,31.0292,67.12,76,0,1.01
77,Rio Gallegos,AR,2021-08-07 06:42:19,-51.6226,-69.2181,35.65,80,0,17.27
78,Lagoa,PT,2021-08-07 06:42:19,39.05,-27.9833,69.01,69,100,14.63
79,Morondava,MG,2021-08-07 06:38:01,-20.2833,44.2833,76.32,39,0,3.49
80,College,US,2021-08-07 06:42:11,64.8569,-147.8028,64.38,85,90,0.0
81,Bishop Auckland,GB,2021-08-07 06:42:20,54.6555,-1.6771,58.24,90,97,3.0
82,Ploemeur,FR,2021-08-07 06:42:21,47.7333,-3.4333,60.94,88,40,11.5
83,Yamoussoukro,CI,2021-08-07 06:42:21,6.8206,-5.2767,71.49,94,75,4.61
84,Cabo San Lucas,MX,2021-08-07 06:41:46,22.8909,-109.9124,81.61,79,62,9.04
85,Bundaberg,AU,2021-08-07 06:42:22,-24.85,152.35,71.89,35,0,10.36
86,Cayenne,GF,2021-08-07 06:42:22,4.9333,-52.3333,77.09,90,90,0.0
87,Corner Brook,CA,2021-08-07 06:42:23,48.9667,-57.9484,68.16,98,100,6.38
88,Gannan,CN,2021-08-07 06:42:23,47.9147,123.5031,81.95,57,6,3.38
89,Westport,US,2021-08-07 06:42:24,41.1415,-73.3579,74.97,85,20,3.0
90,Terrace,CA,2021-08-07 06:42:24,54.5163,-128.6035,58.42,94,75,8.05
91,Dikson,RU,2021-08-07 06:42:25,73.5069,80.5464,48.2,71,15,11.27
92,Vaini,TO,2021-08-07 06:42:25,-21.2,-175.2,68.16,83,20,8.05
93,Iqaluit,CA,2021-08-07 06:42:25,63.7506,-68.5145,42.53,81,90,9.22
94,Ormond Beach,US,2021-08-07 06:38:54,29.2858,-81.0559,77.09,75,90,0.0
95,Palmer,US,2021-08-07 06:42:26,42.1584,-72.3287,70.48,80,1,4.61
96,Lavrentiya,RU,2021-08-07 06:42:27,65.5833,-171.0,45.25,75,100,14.85
97,Provideniya,RU,2021-08-07 06:42:27,64.3833,-173.3,45.63,83,100,5.53
98,Batouri,CM,2021-08-07 06:42:28,4.4333,14.3667,69.57,96,99,4.25
99,Hasaki,JP,2021-08-07 06:42:28,35.7333,140.8333,84.49,81,100,8.95
100,Broome,US,2021-08-07 06:42:29,42.2506,-75.833,70.57,93,100,2.21
101,Meulaboh,ID,2021-08-07 06:42:29,4.1363,96.1285,86.67,64,62,8.75
102,Carnarvon,AU,2021-08-07 06:42:30,-24.8667,113.6333,77.07,67,75,26.46
103,Jamestown,US,2021-08-07 06:42:18,42.097,-79.2353,67.59,94,1,1.01
104,Coihaique,CL,2021-08-07 06:42:30,-45.5752,-72.0662,35.55,75,94,5.75
105,Sept-Iles,CA,2021-08-07 06:42:31,50.2001,-66.3821,59.52,95,75,1.01
106,Souillac,MU,2021-08-07 06:42:31,-20.5167,57.5167,74.35,60,75,12.66
107,Mezen,RU,2021-08-07 06:42:32,65.8522,44.24,60.46,51,98,2.19
108,Upernavik,GL,2021-08-07 06:42:32,72.7868,-56.1549,40.6,93,100,10.96
109,Caucaia,BR,2021-08-07 06:42:33,-3.7361,-38.6531,80.55,74,0,11.5
110,Ola,RU,2021-08-07 06:42:33,59.5833,151.2833,63.03,56,65,4.97
111,Kapaa,US,2021-08-07 06:42:33,22.0752,-159.319,82.38,72,75,18.41
112,Airai,TL,2021-08-07 06:42:34,-8.9266,125.4092,70.83,46,93,4.76
113,Kislovodsk,RU,2021-08-07 06:42:34,43.9133,42.7208,71.24,52,15,5.64
114,Balykshi,KZ,2021-08-07 06:42:35,47.0667,51.8667,89.6,23,0,13.42
115,Mareeba,AU,2021-08-07 06:42:35,-17.0,145.4333,71.44,68,65,8.97
116,Salalah,OM,2021-08-07 06:42:35,17.0151,54.0924,77.09,100,90,10.36
117,Cibitoke,BI,2021-08-07 06:42:36,-2.8833,29.25,65.62,42,14,3.2
118,Les Cayes,HT,2021-08-07 06:42:36,18.2,-73.75,76.32,85,5,1.95
119,Xuddur,SO,2021-08-07 06:42:37,4.1213,43.8894,80.01,47,100,21.25
120,Yar-Sale,RU,2021-08-07 06:42:37,66.8333,70.8333,79.09,42,4,9.17
121,Anloga,GH,2021-08-07 06:42:38,5.7947,0.8973,77.22,85,100,13.18
122,Port Lincoln,AU,2021-08-07 06:42:38,-34.7333,135.8667,57.09,66,100,4.29
123,Cody,US,2021-08-07 06:42:39,44.5263,-109.0565,65.39,46,75,12.66
124,Ahar,IR,2021-08-07 06:42:39,38.4774,47.0699,84.87,26,1,3.38
125,Sitka,US,2021-08-07 06:42:39,57.0531,-135.33,60.69,77,90,6.91
126,Kruisfontein,ZA,2021-08-07 06:42:40,-34.0033,24.7314,55.67,78,27,3.98
127,Inowroclaw,PL,2021-08-07 06:41:06,52.7989,18.2639,62.22,68,0,5.32
128,Winslow,US,2021-08-07 06:42:40,35.0242,-110.6974,78.98,47,1,1.99
129,Izumo,JP,2021-08-07 06:42:41,35.3667,132.7667,87.75,66,75,6.91
130,Flinders,AU,2021-08-07 06:42:41,-34.5833,150.8552,63.81,56,0,8.43
131,Tuatapere,NZ,2021-08-07 06:42:26,-46.1333,167.6833,39.81,84,100,5.53
132,Kahului,US,2021-08-07 06:42:25,20.8947,-156.47,78.82,81,20,18.41
133,Sao Filipe,CV,2021-08-07 06:42:42,14.8961,-24.4956,76.89,83,100,9.04
134,Talnakh,RU,2021-08-07 06:42:43,69.4865,88.3972,81.63,37,74,7.87
135,Yashkino,RU,2021-08-07 06:42:43,55.8736,85.4265,68.95,80,100,3.78
136,Makat,KZ,2021-08-07 06:42:43,47.6469,53.3463,89.31,20,0,11.12
137,Salinas,US,2021-08-07 06:42:44,36.6777,-121.6555,68.14,85,90,6.91
138,Kempten,DE,2021-08-07 06:42:45,47.7267,10.3139,61.97,71,100,3.04
139,Khandyga,RU,2021-08-07 06:42:45,62.6667,135.6,79.66,28,55,8.08
140,Biak,ID,2021-08-07 06:42:45,-0.9131,122.8766,76.28,87,100,6.42
141,Goundam,ML,2021-08-07 06:42:46,16.4145,-3.6708,81.54,66,50,13.09
142,Lebu,CL,2021-08-07 06:42:22,-37.6167,-73.65,48.94,90,100,11.25
143,Marsa Matruh,EG,2021-08-07 06:42:47,31.3525,27.2453,82.6,74,20,14.97
144,Murgab,TM,2021-08-07 06:42:47,37.4966,61.9714,100.27,20,0,4.61
145,Ribeira Grande,PT,2021-08-07 06:42:48,38.5167,-28.7,70.2,60,40,8.05
146,Parana,AR,2021-08-07 06:42:48,-31.732,-60.5238,61.47,82,0,7.74
147,Chachapoyas,PE,2021-08-07 06:42:49,-6.2317,-77.869,47.84,95,0,2.73
148,Pontes E Lacerda,BR,2021-08-07 06:42:49,-15.2261,-59.3353,67.26,45,0,2.55
149,Zavolzhsk,RU,2021-08-07 06:42:50,57.4823,42.1378,61.95,94,100,9.64
150,Chuy,UY,2021-08-07 06:42:50,-33.6971,-53.4616,54.46,94,0,6.96
151,Port Arthur,CN,2021-08-07 06:42:50,38.8,121.2667,84.42,53,100,5.01
152,Samarai,PG,2021-08-07 06:42:51,-10.6167,150.6667,77.31,85,100,14.54
153,Deputatskiy,RU,2021-08-07 06:42:51,69.3,139.9,62.11,39,6,6.62
154,Mecca,SA,2021-08-07 06:42:52,21.4267,39.8261,99.27,22,2,6.4
155,San Quintin,MX,2021-08-07 06:42:52,30.4833,-115.95,67.39,86,5,6.4
156,Tautira,PF,2021-08-07 06:42:52,-17.7333,-149.15,77.02,70,31,5.37
157,Keti Bandar,PK,2021-08-07 06:42:53,24.1447,67.4497,84.06,72,100,15.7
158,Torbay,CA,2021-08-07 06:42:53,47.6666,-52.7314,68.77,95,90,20.71
159,Quang Ngai,VN,2021-08-07 06:40:11,15.1167,108.8,98.42,43,100,13.76
160,Lorengau,PG,2021-08-07 06:42:54,-2.0226,147.2712,80.64,80,98,6.02
161,Puerto Ayora,EC,2021-08-07 06:42:54,-0.7393,-90.3518,69.55,88,100,1.99
162,Camacha,PT,2021-08-07 06:42:55,33.0833,-16.3333,69.22,94,75,9.22
163,Houston,US,2021-08-07 06:40:42,29.7633,-95.3633,81.09,86,1,1.01
164,Mount Gambier,AU,2021-08-07 06:42:55,-37.8333,140.7667,57.11,72,90,11.5
165,Olafsvik,IS,2021-08-07 06:42:56,64.8945,-23.7142,52.56,84,47,3.53
166,Port-Gentil,GA,2021-08-07 06:42:57,-0.7193,8.7815,76.96,83,90,6.91
167,Grindavik,IS,2021-08-07 06:42:57,63.8424,-22.4338,50.56,100,75,1.14
168,Nouadhibou,MR,2021-08-07 06:42:57,20.931,-17.0347,67.98,94,0,5.75
169,Ripiceni,RO,2021-08-07 06:42:58,47.95,27.1333,71.38,51,0,5.21
170,Montero,BO,2021-08-07 06:42:58,-17.3333,-63.25,67.1,58,0,3.74
171,Skibbereen,IE,2021-08-07 06:42:59,51.55,-9.2667,57.0,79,99,21.3
172,Chernyshevskiy,RU,2021-08-07 06:42:59,63.0128,112.4714,75.56,28,51,6.15
173,Dawei,MM,2021-08-07 06:43:00,14.0833,98.2,84.65,73,87,7.49
174,Tilichiki,RU,2021-08-07 06:43:00,60.4667,166.1,55.0,71,100,1.14
175,Sisimiut,GL,2021-08-07 06:43:01,66.9395,-53.6735,41.74,94,100,8.19
176,Gudivada,IN,2021-08-07 06:43:01,16.45,80.9833,97.0,39,79,8.84
177,Ponta Do Sol,PT,2021-08-07 06:43:02,32.6667,-17.1,71.71,79,23,4.34
178,Ahipara,NZ,2021-08-07 06:43:02,-35.1667,173.1667,55.94,81,10,15.21
179,Tromso,NO,2021-08-07 06:43:02,69.6496,18.957,65.05,77,0,2.3
180,Isangel,VU,2021-08-07 06:43:03,-19.55,169.2667,73.51,68,75,10.09
181,Anadyr,RU,2021-08-07 06:43:03,64.75,177.4833,55.9,47,0,13.42
182,Berlevag,NO,2021-08-07 06:43:04,70.8578,29.0864,59.7,67,100,10.54
183,Kysyl-Syr,RU,2021-08-07 06:43:04,63.8986,122.7617,77.09,35,100,12.44
184,Borba,BR,2021-08-07 06:43:04,-4.3878,-59.5939,72.75,76,0,1.21
185,Kenai,US,2021-08-07 06:39:26,60.5544,-151.2583,59.09,92,1,5.75
186,Bambous Virieux,MU,2021-08-07 06:43:05,-20.3428,57.7575,74.21,60,75,12.66
187,Cherskiy,RU,2021-08-07 06:43:06,68.75,161.3,65.7,51,71,5.23
188,Bouna,CI,2021-08-07 06:43:06,9.2667,-3.0,71.49,85,85,3.87
189,Pano Polemidia,CY,2021-08-07 06:43:07,34.7,33.0,88.72,74,40,8.05
190,Vung Tau,VN,2021-08-07 06:43:07,10.346,107.0843,86.29,72,100,12.97
191,Whitehorse,CA,2021-08-07 06:43:08,60.7161,-135.0538,55.02,94,90,6.91
192,Kiama,AU,2021-08-07 06:38:23,-34.6833,150.8667,64.0,48,0,7.72
193,Faanui,PF,2021-08-07 06:43:08,-16.4833,-151.75,78.8,68,83,9.6
194,Botwood,CA,2021-08-07 06:43:09,49.1499,-55.3482,69.28,87,100,12.88
195,Monte Alegre,BR,2021-08-07 06:43:09,-2.0078,-54.0692,73.22,80,10,2.75
196,Kadyy,RU,2021-08-07 06:43:10,57.787,43.1903,59.81,96,100,7.76
197,Shenzhen,CN,2021-08-07 06:40:12,22.5455,114.0683,87.75,79,100,9.53
198,Vila Franca Do Campo,PT,2021-08-07 06:43:10,37.7167,-25.4333,68.41,75,56,9.71
199,Nova Olinda Do Norte,BR,2021-08-07 06:43:11,-3.8881,-59.0942,73.45,75,0,0.65
200,Norrtalje,SE,2021-08-07 06:41:13,59.758,18.705,64.49,79,100,11.18
201,Ballymena,GB,2021-08-07 06:43:12,54.8636,-6.2763,60.03,93,100,4.07
202,Elverum,NO,2021-08-07 06:43:12,60.8819,11.5623,60.6,59,100,4.7
203,Hailar,CN,2021-08-07 06:43:13,49.2,119.7,80.78,37,5,3.71
204,Huarmey,PE,2021-08-07 06:43:13,-10.0681,-78.1522,62.82,88,41,9.44
205,Bousse,BF,2021-08-07 06:43:13,12.6606,-1.8922,72.97,86,42,11.99
206,Ilulissat,GL,2021-08-07 06:43:14,69.2167,-51.1,44.62,70,75,10.36
207,Harrogate,GB,2021-08-07 06:43:14,53.9908,-1.5373,58.95,80,20,5.01
208,Bilibino,RU,2021-08-07 06:43:15,68.0546,166.4372,59.31,41,0,16.06
209,Thinadhoo,MV,2021-08-07 06:43:15,0.5333,72.9333,81.34,76,100,15.55
210,Amga,RU,2021-08-07 06:43:16,60.8953,131.9608,74.21,36,79,13.35
211,Naze,JP,2021-08-07 06:42:48,28.3667,129.4833,77.92,90,100,13.02
212,Itajuipe,BR,2021-08-07 06:43:17,-14.6781,-39.375,67.21,64,100,3.06
213,Nong Phai,TH,2021-08-07 06:43:17,15.9903,101.0618,88.7,66,100,8.86
214,Tiruchchendur,IN,2021-08-07 06:43:18,8.4833,78.1167,93.49,59,100,5.44
215,Saint-Francois,FR,2021-08-07 06:43:18,46.4154,3.9054,62.19,100,100,6.91
216,Clyde River,CA,2021-08-07 06:43:19,70.4692,-68.5914,34.03,100,75,10.36
217,Gdynia,PL,2021-08-07 06:43:19,54.5189,18.5319,65.84,82,20,16.11
218,Grootfontein,NA,2021-08-07 06:43:19,-19.5667,18.1167,53.17,32,0,3.44
219,Verkhnyaya Inta,RU,2021-08-07 06:43:20,65.9811,60.3094,51.01,93,100,7.56
220,La Romana,DO,2021-08-07 06:43:20,18.4273,-68.9728,76.73,89,0,7.92
221,Thompson,CA,2021-08-07 06:43:21,55.7435,-97.8558,57.36,88,20,2.3
222,Zarya,RU,2021-08-07 06:43:21,55.7553,38.0958,73.54,65,100,9.71
223,Inuvik,CA,2021-08-07 06:43:22,68.3499,-133.7218,41.76,81,75,6.91
224,Victoria,HK,2021-08-07 06:43:22,22.2855,114.1577,87.85,84,99,1.99
225,Miandrivazo,MG,2021-08-07 06:43:22,-19.5167,45.4667,80.06,31,0,1.63
226,Dancheng,CN,2021-08-07 06:43:23,33.6333,115.1833,90.64,60,13,7.83
227,Ulladulla,AU,2021-08-07 06:38:29,-35.35,150.4667,63.5,81,0,7.9
228,Hamilton,US,2021-08-07 06:40:21,39.1834,-84.5333,72.79,86,1,1.01
229,Egvekinot,RU,2021-08-07 06:43:24,66.3167,-179.1667,40.23,79,92,17.13
230,Liverpool,GB,2021-08-07 06:41:10,53.4106,-2.9779,58.78,82,40,7.0
231,Port Hardy,CA,2021-08-07 06:43:25,50.6996,-127.4199,57.38,94,90,11.5
232,Bahia Honda,CU,2021-08-07 06:43:25,22.9036,-83.1592,78.55,85,53,5.53
233,Kadi,IN,2021-08-07 06:43:26,23.3,72.3333,87.66,71,100,1.81
234,Kodiak,US,2021-08-07 06:43:26,57.79,-152.4072,56.71,88,20,3.44
235,Maura,NO,2021-08-07 06:43:27,60.25,11.0167,60.46,79,0,5.75
236,Sheltozero,RU,2021-08-07 06:43:27,61.3667,35.3667,62.24,71,100,15.88
237,Roseto Degli Abruzzi,IT,2021-08-07 06:43:27,42.6664,14.0227,81.95,42,8,2.89
238,Ventspils,LV,2021-08-07 06:43:28,57.3894,21.5606,62.53,100,90,5.75
239,Tam Ky,VN,2021-08-07 06:43:28,15.5667,108.4833,100.38,46,100,10.25
240,Cheremukhovo,RU,2021-08-07 06:43:29,60.3484,59.9851,54.72,90,100,5.93
241,Bathsheba,BB,2021-08-07 06:43:29,13.2167,-59.5167,79.41,78,40,12.66
242,Chokurdakh,RU,2021-08-07 06:43:30,70.6333,147.9167,62.31,57,12,9.13
243,Bethel,US,2021-08-07 06:43:30,41.3712,-73.414,72.64,86,1,0.0
244,Archidona,ES,2021-08-07 06:43:31,37.0965,-4.3887,77.67,45,0,5.86
245,Tiksi,RU,2021-08-07 06:42:53,71.6872,128.8694,50.07,72,100,3.24
246,Sorgun,TR,2021-08-07 06:43:31,39.8101,35.186,80.98,28,91,11.77
247,West Wendover,US,2021-08-07 06:43:32,40.7391,-114.0733,70.81,33,1,4.61
248,Christchurch,NZ,2021-08-07 06:40:32,-43.5333,172.6333,46.0,74,100,5.75
249,Havoysund,NO,2021-08-07 06:43:33,70.9963,24.6622,65.28,68,100,4.0
250,Baruun-Urt,MN,2021-08-07 06:43:33,46.6806,113.2792,90.99,16,86,21.99
251,Sao Felix Do Xingu,BR,2021-08-07 06:43:33,-6.6447,-51.995,67.28,51,67,2.1
252,Alice Springs,AU,2021-08-07 06:43:34,-23.7,133.8833,67.55,22,0,8.05
253,Miles City,US,2021-08-07 06:43:34,46.4083,-105.8406,71.51,56,20,9.22
254,Den Helder,NL,2021-08-07 06:43:35,52.9599,4.7593,63.99,89,90,13.8
255,Pudozh,RU,2021-08-07 06:43:35,61.8099,36.5345,66.07,54,100,12.95
256,Nizhniy Tsasuchey,RU,2021-08-07 06:43:36,50.5167,115.1333,87.73,30,13,18.03
257,Alpena,US,2021-08-07 06:43:36,45.0617,-83.4327,67.1,96,100,3.78
258,Karratha,AU,2021-08-07 06:43:37,-20.7377,116.8463,76.42,39,5,19.91
259,Ostrovnoy,RU,2021-08-07 06:43:37,68.0531,39.5131,58.62,74,9,5.39
260,Cap Malheureux,MU,2021-08-07 06:43:38,-19.9842,57.6142,74.46,64,38,10.0
261,Saint Anthony,US,2021-08-07 06:40:46,45.0205,-93.218,73.71,77,1,1.99
262,Atchison,US,2021-08-07 06:43:38,39.563,-95.1216,80.01,81,16,12.17
263,East London,ZA,2021-08-07 06:43:39,-33.0153,27.9116,58.14,82,0,5.75
264,Tver,RU,2021-08-07 06:43:39,56.8619,35.8931,69.22,82,100,10.18
265,Kavaratti,IN,2021-08-07 06:42:45,10.5669,72.642,81.66,78,100,24.0
266,Tasiilaq,GL,2021-08-07 06:43:40,65.6145,-37.6368,41.16,92,100,3.8
267,Pasighat,IN,2021-08-07 06:43:40,28.0667,95.3333,90.46,66,98,3.71
268,Dingle,PH,2021-08-07 06:43:40,10.9995,122.6711,90.27,57,77,13.38
269,Luderitz,NA,2021-08-07 06:43:41,-26.6481,15.1594,62.35,43,3,2.86
270,Yellowknife,CA,2021-08-07 06:43:41,62.456,-114.3525,64.92,72,75,4.61
271,Nantucket,US,2021-08-07 06:41:46,41.2835,-70.0995,72.0,95,1,5.75
272,Aksu,CN,2021-08-07 06:43:42,41.1231,80.2644,88.39,23,0,5.5
273,Palana,RU,2021-08-07 06:43:42,59.1167,159.9667,50.4,73,100,10.92
274,Arraial Do Cabo,BR,2021-08-07 06:39:20,-22.9661,-42.0278,66.36,77,100,12.86
275,Kodinsk,RU,2021-08-07 06:43:43,58.6881,99.1844,82.29,29,0,4.94
276,Katherine,AU,2021-08-07 06:43:43,-14.4667,132.2667,84.52,12,1,13.8
277,Wajima,JP,2021-08-07 06:43:44,37.4,136.9,86.68,89,75,2.3
278,Kieta,PG,2021-08-07 06:43:44,-6.2167,155.6333,81.77,78,85,7.18
279,Riyadh,SA,2021-08-07 06:42:10,24.6877,46.7219,104.14,8,1,3.74
280,Charcas,MX,2021-08-07 06:43:45,23.1333,-101.1167,59.67,81,35,7.96
281,La Ronge,CA,2021-08-07 06:43:45,55.1001,-105.2842,68.25,77,90,8.05
282,Sola,VU,2021-08-07 06:43:46,-13.8833,167.55,75.87,100,90,0.0
283,Lewisporte,CA,2021-08-07 06:43:46,49.2499,-55.0482,69.51,84,100,13.44
284,Caraquet,CA,2021-08-07 06:43:47,47.7941,-64.9386,68.58,79,33,9.64
285,Praia Da Vitoria,PT,2021-08-07 06:43:47,38.7333,-27.0667,68.25,88,20,15.32
286,Beloha,MG,2021-08-07 06:43:48,-25.1667,45.05,75.99,36,5,2.51
287,Lardos,GR,2021-08-07 06:43:48,36.0942,28.0157,85.82,46,0,18.14
288,Beyneu,KZ,2021-08-07 06:41:16,45.3167,55.2,95.59,18,0,9.8
289,Carolina,PR,2021-08-07 06:43:49,18.3808,-65.9574,82.29,86,40,3.44
290,Yumen,CN,2021-08-07 06:43:49,40.2833,97.2,84.06,17,83,11.36
291,Vardo,NO,2021-08-07 06:43:50,70.3705,31.1107,54.59,82,50,12.48
292,Harer,ET,2021-08-07 06:43:50,9.3094,42.1258,68.5,55,65,10.02
293,Iringa,TZ,2021-08-07 06:43:51,-7.7667,35.7,63.72,59,40,6.91
294,Antalaha,MG,2021-08-07 06:43:51,-14.9003,50.2788,76.62,62,27,9.19
295,Sioux Lookout,CA,2021-08-07 06:43:52,50.1001,-91.917,53.98,100,40,2.3
296,Leningradskiy,RU,2021-08-07 06:43:16,69.3833,178.4167,37.44,90,100,7.27
